RANK,NAME,TICKER,INDUSTRIES,Country,EMPLOYEES,Glassdoor Rating,City,1 year stock performance,return on equity,Analyst Recommendation Mean,Operating Income,Operating income per employee,MSCI SECTOR,Sector perf,RELATIVE STOCK PERF,,,,,,,,,
56,Shopify,SHOP,"IT, Internet, Software & Services",Canada,10000,3.7,Ottawa,-65.76,-31.98,2.6,-312379008,-31237,MSCI World Information Technology Index,-30.79,-34.97,,,,,,,,,
57,Colgate-Palmolive,CL,Packaged Goods,United States,33800,3.9,New York,-6.55,203.08,2.7,4156000000,122958,MSCI World Consumer Staples Index,-6.13,-0.42,,,,,,,,,
58,General Dynamics,GD,Aerospace & Defense,United States,100000,3.7,Reston,17.66,20.08,2.1,5321999872,53219,MSCI World Aerospace and Defense Index,12.86,4.8,,,,,,,,,
60,MTU Aero Engines,MTX.DE,Aerospace & Defense,Germany,10000,3.9,Munich,11.42,9.04,2.1,650000000,65000,MSCI World Aerospace and Defense Index,12.86,-1.44,,,,,,,,,
63,L'Oreal,OR.PA,Packaged Goods,France,85252,4,Clichy,-5.43,19.65,2.5,7413499904,86959,MSCI World Consumer Staples Index,-6.13,0.7,,,,,,,,,
67,Netflix,NFLX,Media & Advertising,United States,11300,4.3,Los Gatos,-36.97,28.14,2.4,6021976064,532918,MSCI ACWI Media and Entertainment Index,-41.93,4.96,,,,,,,,,
68,Carl-Zeiss-Stiftung,AFX.DE,"Engineering, Manufacturing",Germany,35375,3.9,Oberkochen,-13.58,15.96,2.3,419492992,11858,MSCI World Industrials Index,-13.2,-0.38,,,,,,,,,
69,"Merck KGaA, Darmstadt, Germany and its affiliates",MRK.DE,Drugs & Biotechnology,Germany,60334,4.1,Darmstadt,2.31,14.22,1.8,6503000064,107783,"MSCI World Pharmaceuticals, Biotechnology and Life Sciences Index",-0.61,2.92,,,,,,,,,
70,Wacker Chemie,WCH.DE,"Construction, Oil & Gas Operations, Mining and Chemicals",Germany,14400,4,Munich,-10.39,36.49,2.2,2048400000,142250,MSCI World Commodity Producers Index,31.78,-42.17,,,,,,,,,
72,Prada,1913.HK,"Clothing, Shoes, Sports Equipment",Italy,13140,3.6,Milan,-3.24,12.63,2.2,841483008,64039,MSCI World Consumer Durables & Apparel,-26.29,23.05,,,,,,,,,
